	mean_abundance	occurrence	predicted_occurrence	lower_conf_int	upper_conf_int
Eubacterium_sulci	0.0007894736842105263	0.02631578947368421	0.0033839670954737278	0.0002005372595427421	0.05435535241913065
Candidatus_Saccharibacteria_unclassified_SGB19850	0.0007894736842105263	0.013157894736842105	0.0033839670954737278	0.0002005372595427421	0.05435535241913065
Fusobacterium_nucleatum	0.0007894736842105263	0.013157894736842105	0.0033839670954737278	0.0002005372595427421	0.05435535241913065
Prevotella_nanceiensis	0.0010526315789473684	0.039473684210526314	0.0045099597200877195	0.00034355043225926807	0.05635597341178795
Campylobacter_concisus	0.0010526315789473684	0.02631578947368421	0.0045099597200877195	0.00034355043225926807	0.05635597341178795
Selenomonas_SGB5880	0.0013157894736842105	0.013157894736842105	0.005634954950196391	0.0005182340966434669	0.05832302510021768
Fusobacterium_pseudoperiodonticum	0.0013157894736842105	0.039473684210526314	0.005634954950196391	0.0005182340966434669	0.05832302510021768
Lactobacillus_vaginalis	0.0013157894736842105	0.013157894736842105	0.005634954950196391	0.0005182340966434669	0.05832302510021768
Gemella_SGB7284	0.0015789473684210526	0.05263157894736842	0.0067589532719048995	0.0007216369851152961	0.06025945967743368
Streptococcus_gordonii	0.0015789473684210526	0.039473684210526314	0.0067589532719048995	0.0007216369851152961	0.06025945967743368
Alloprevotella_tannerae	0.0015789473684210526	0.02631578947368421	0.0067589532719048995	0.0007216369851152961	0.06025945967743368
Megasphaera_micronuciformis	0.001842105263157895	0.039473684210526314	0.007881955171746613	0.0009512343646505238	0.062167802802709185
Actinomyces_oris	0.001842105263157895	0.013157894736842105	0.007881955171746613	0.0009512343646505238	0.062167802802709185
Paracoccus_yeei	0.002105263157894737	0.013157894736842105	0.009003961136681782	0.0012048462271762317	0.06405023541117882
Prevotella_oris	0.002105263157894737	0.02631578947368421	0.009003961136681782	0.0012048462271762317	0.06405023541117882
Bacteroidaceae_unclassified_SGB1468	0.002105263157894737	0.07894736842105263	0.009003961136681782	0.0012048462271762317	0.06405023541117882
Neisseria_cinerea	0.0023684210526315787	0.02631578947368421	0.010124971654095427	0.001480574627606951	0.0659086563757984
Neisseria_sicca	0.0023684210526315787	0.06578947368421052	0.010124971654095427	0.001480574627606951	0.0659086563757984
GGB4395_SGB6050	0.002631578947368421	0.013157894736842105	0.01124498721179612	0.0017767549595154516	0.06774473123167188
Prevotella_salivae	0.0034210526315789475	0.09210526315789473	0.014599069011025922	0.0027741077142053178	0.07313278827551627
Haemophilus_haemolyticus	0.00368421052631579	0.09210526315789473	0.015715109616376233	0.0031389232670015615	0.07489266050421729
Streptococcus_anginosus	0.003947368421052632	0.02631578947368421	0.01683015770735463	0.003518260414464257	0.07663612161635738
Moraxella_osloensis	0.003947368421052632	0.02631578947368421	0.01683015770735463	0.003518260414464257	0.07663612161635738
Lactobacillus_amylovorus	0.003947368421052632	0.02631578947368421	0.01683015770735463	0.003518260414464257	0.07663612161635738
Veillonella_parvula	0.004736842105263157	0.02631578947368421	0.020169351799291024	0.004735240482938052	0.0817762085337736
Haemophilus_influenzae	0.004736842105263157	0.039473684210526314	0.020169351799291024	0.004735240482938052	0.0817762085337736
Leptotrichia_wadei	0.005263157894736842	0.09210526315789473	0.022390527622178857	0.005605410398045817	0.08513465280064322
Veillonella_dispar	0.005263157894736842	0.10526315789473684	0.022390527622178857	0.005605410398045817	0.08513465280064322
Parvimonas_SGB6649	0.005789473684210527	0.013157894736842105	0.024607745180235452	0.006517194036122241	0.08844394770750505
Gemella_haemolysans	0.006842105263157895	0.13157894736842105	0.029030321283389116	0.008450540814257473	0.09493018115258488
