	Barretts_12_EGAF00000525202	Barretts_19_EGAF00000530863	Barretts_6_EGAF00000560127	Barretts_22_EGAF00000525458	Barretts_23_EGAF00000501983	Barretts_15_EGAF00000525456	Barretts_21_EGAF00000560126	Barretts_5_EGAF00000525462	Barretts_2_EGAF00000525461	Barretts_20_EGAF00000560125	Barretts_4_EGAF00000525457	Barretts_11_EGAF00000586502	Barretts_17_EGAF00000525463	Barretts_13_EGAF00000525459	Barretts_3_EGAF00000560128	Barretts_8_EGAF00000525460	Barretts_7_EGAF00000501982	Barretts_18_EGAF00000560130	Barretts_10_EGAF00000530875	Barretts_16_EGAF00000525464	Barretts_9_EGAF00000525201	Barretts_1_EGAF00000501981	Barretts_14_EGAF00000560129
G000286895	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000287355	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000287635	1.0	1.0	0	0	0	244.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0
G000287655	0	1.0	0	0	0	49.0	0	1.0	0	0	0	0	0	0	0	0	4.0	0	1.0	0	0	0	0
G000293175	1.0	1.0	0	0	0	53.0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	1.0	0
G000293785	145.0	0	98.0	214.0	0	217.0	112.0	186.0	229.0	65.0	240.0	144.0	183.0	240.0	124.0	303.0	0	167.0	336.0	289.0	77.0	0	133.0
G000295095	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
G000295715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000296385	0	0	0	0	0	3.0	0	0	0	0	0	2.0	0	0	1.0	0	0	1.0	0	0	0	0	0
G000296405	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0
G000296465	0	0	0	0	0	17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000296485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000296505	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000296835	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000297025	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000297215	1.0	0	1.0	4.0	0	4.0	1.0	4.0	4.0	0	3.0	1.0	4.0	2.0	1.0	5.0	0	1.0	1.0	3.0	1.0	0	1.0
G000297255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000297495	0	0	0	3.0	4.0	2.0	2.0	0	2.0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	2.0
G000297775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000297875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000298075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000298115	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000298195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000298215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000299335	0	0	0	0	0	22.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000299455	2037.0	0	1037.0	3844.0	0	5719.0	1194.0	4068.0	3553.0	915.0	3589.0	2715.0	4058.0	2755.0	1127.0	3644.0	0	1223.0	1472.0	3403.0	2942.0	0	849.0
G000299575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000299895	0	0	0	0	0	23.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000299935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000300005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000300335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000300455	11.0	0	5.0	18.0	0	27.0	6.0	21.0	18.0	5.0	18.0	14.0	17.0	14.0	5.0	18.0	0	6.0	7.0	17.0	14.0	0	4.0
G000300815	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000300855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000301035	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000301055	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000302695	2.0	0	1.0	3.0	0	5.0	2.0	4.0	3.0	1.0	3.0	2.0	3.0	3.0	1.0	3.0	0	1.0	1.0	3.0	2.0	0	0
G000304215	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000304335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000304395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000306785	0	0	0	0	0	0	0	0	0	0	1.0	2.0	0	0	0	0	0	0	0	0	0	0	0
G000307245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000307305	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000307375	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000307855	6.0	0	21.0	12.0	1.0	9.0	12.0	5.0	4.0	14.0	8.0	1.0	13.0	11.0	8.0	8.0	0	0	2.0	8.0	32.0	1.0	3.0
G000307875	19.0	0	71.0	35.0	1.0	23.0	41.0	16.0	13.0	48.0	26.0	2.0	36.0	36.0	26.0	21.0	1.0	1.0	6.0	21.0	96.0	2.0	12.0
G000307915	3.0	0	1.0	5.0	0	11.0	3.0	5.0	6.0	2.0	4.0	7.0	5.0	6.0	2.0	10.0	0	1.0	3.0	7.0	8.0	0	1.0
G000308055	0	0	0	0	1.0	8.0	0	0	0	0	0	0	0	0	6.0	0	1.0	1.0	0	0	0	3.0	0
G000308195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000308295	0	0	0	2.0	2.0	0	1.0	0	0	0	3.0	0	2.0	0	0	0	0	0	0	0	0	0	0
G000308395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000308515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000308615	33378.0	0	26763.0	33934.0	0	24818.0	34829.0	33680.0	29289.0	24316.0	28084.0	28550.0	41717.0	24454.0	26659.0	34191.0	0	35424.0	32315.0	35461.0	25018.0	0	30374.0
G000308635	56844.0	0	45607.0	54311.0	0	41441.0	58740.0	53882.0	48807.0	41497.0	47734.0	45246.0	73469.0	40120.0	44303.0	55597.0	0	54765.0	48959.0	56871.0	37512.0	0	48185.0
G000308655	33125.0	0	26614.0	33345.0	0	24387.0	34663.0	33175.0	28747.0	24158.0	27669.0	28475.0	41257.0	24127.0	26482.0	33568.0	0	35094.0	32237.0	34797.0	25197.0	0	30261.0
G000308675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000308755	376.0	0	248.0	504.0	0	469.0	268.0	506.0	389.0	156.0	501.0	315.0	408.0	399.0	332.0	543.0	0	369.0	1105.0	519.0	424.0	0	414.0
G000308855	80601.0	0	64052.0	80678.0	0	59024.0	83887.0	80823.0	69585.0	58222.0	66491.0	69602.0	99438.0	58452.0	64187.0	81326.0	0	86009.0	79111.0	84405.0	63201.0	0	74361.0
G000309465	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000309485	0	0	0	2.0	0	2.0	0	1.0	2.0	1.0	0	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0
G000309565	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000309585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000309605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000309705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000309765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000309885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000310145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000310185	29933.0	0	49881.0	98707.0	0	144633.0	57332.0	102729.0	89378.0	46434.0	92267.0	40921.0	104913.0	70617.0	56536.0	92930.0	0	59368.0	20687.0	84123.0	43086.0	0	42222.0
G000311925	0	0	0	1.0	0	55.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000312005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312145	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312205	2.0	0	0	2.0	0	5.0	0	2.0	2.0	0	1.0	2.0	2.0	1.0	1.0	2.0	0	0	1.0	2.0	1.0	0	0
G000312345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312445	0	0	0	0	0	40.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312505	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000312665	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000313345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000314405	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000314575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000314675	0	0	2.0	0	4.0	0	1.0	0	0	0	2.0	0	0	0	0	0	0	1.0	0	0	0	2.0	0
G000314735	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0
G000314895	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
G000314935	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000314955	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000314975	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000314995	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000315015	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000315055	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000315075	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000315445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000315465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000315485	0	0	0	0	0	37.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000315505	0	0	0	0	1.0	20.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
G000315525	0	0	0	2.0	2.0	1.0	0	0	1.0	0	2.0	0	0	0	2.0	0	3.0	0	0	0	0	0	0
G000315795	92.0	0	59.0	123.0	0	132.0	68.0	108.0	135.0	37.0	152.0	89.0	123.0	153.0	77.0	177.0	0	94.0	243.0	165.0	57.0	0	83.0
G000317125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000317145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000317305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000317475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000317855	0	0	0	0	0	27.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000317935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000318015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000318095	0	0	0	2.0	1.0	217.0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.0	0	13.0	0
G000318135	0	0	0	2.0	0	45.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
G000318255	0	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000318295	0	2.0	0	0	5.0	24.0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	2.0	0
G000318335	0	0	0	0	1.0	6.0	0	0	0	0	0	0	0	0	8.0	0	3.0	1.0	0	0	0	6.0	0
G000320365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000320465	0	0	0	1.0	0	2.0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	1.0	0	0
G000320945	0	0	0	0	0	23.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000321025	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000323285	0	0	0	0	0	2.0	0	0	1.0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0
G000323565	0	0	0	0	0	2.0	0	1.0	1.0	0	1.0	0	1.0	1.0	0	0	0	0	0	0	0	0	0
G000323585	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000323645	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000323725	0	0	0	0	0	2.0	0	0	1.0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0
G000323785	0	0	0	0	0	1.0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
G000323825	0	0	0	0	0	2.0	0	1.0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0
G000324005	0	0	0	1.0	0	2.0	0	1.0	0	0	1.0	0	1.0	0	0	1.0	0	0	0	0	0	0	0
G000324145	0	0	0	0	0	3.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0
G000324265	0	0	0	1.0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
G000324305	0	0	0	0	0	2.0	0	1.0	0	0	1.0	0	1.0	0	0	1.0	0	0	0	1.0	1.0	0	0
G000324445	0	0	0	1.0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000324485	0	0	0	0	0	1.0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000324505	0	0	0	1.0	0	2.0	0	1.0	1.0	0	1.0	0	1.0	0	0	0	0	0	0	1.0	0	0	0
G000324625	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000324685	0	0	0	1.0	0	1.0	0	1.0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	1.0	0	0
G000324725	0	0	0	0	0	1.0	0	1.0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0
G000324905	0	0	0	1.0	0	3.0	0	1.0	0	0	1.0	0	1.0	0	0	0	0	0	0	1.0	0	0	0
G000324985	0	0	0	0	0	2.0	0	1.0	0	0	1.0	0	1.0	0	0	1.0	0	0	0	1.0	1.0	0	0
G000325085	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
G000325145	0	0	0	0	0	2.0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	1.0	0	0	0
G000325165	0	0	0	0	0	2.0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0
G000325245	0	0	0	1.0	0	1.0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
G000325265	0	0	0	1.0	0	2.0	0	0	1.0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0
G000325285	0	0	0	0	0	2.0	0	0	1.0	0	1.0	0	1.0	1.0	0	1.0	0	0	0	0	1.0	0	0
G000328305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000328705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000330885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000331005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000331105	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000331225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000331245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000331285	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000332075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000332735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000332975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000332995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000333035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
G000333235	29660.0	0	49742.0	98175.0	0	142944.0	56950.0	102087.0	88612.0	46251.0	90990.0	40504.0	103962.0	69571.0	56100.0	91993.0	0	59052.0	20390.0	83377.0	42673.0	0	41867.0
G000333355	0	0	0	1.0	0	2.0	0	1.0	1.0	0	2.0	0	0	2.0	0	1.0	2.0	0	0	1.0	2.0	0	0
G000333395	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000333435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000333615	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000333895	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000334155	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000334455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000335475	26735.0	0	43292.0	81209.0	0	119083.0	49673.0	84293.0	73394.0	40283.0	76207.0	36024.0	86307.0	58394.0	49052.0	76601.0	0	51767.0	19477.0	69367.0	38373.0	0	36855.0
G000335715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000335815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000336255	0	0	0	2.0	0	3.0	0	1.0	1.0	0	1.0	1.0	1.0	1.0	0	1.0	0	0	0	1.0	1.0	0	0
G000336555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
G000337735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000337895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000338055	29656.0	3.0	49710.0	98205.0	0	142906.0	57009.0	102136.0	88656.0	46272.0	91061.0	40522.0	103849.0	69615.0	56091.0	92043.0	0	59084.0	20412.0	83412.0	42625.0	0	41930.0
G000340375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000340565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000340795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000341025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
G000341065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000341105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000341345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000341795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000342045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000342165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000344135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000344155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000344275	1.0	11.0	0	16.0	4.0	512.0	1.0	0	1.0	0	0	12.0	1.0	0	11.0	0	14.0	0	26.0	2.0	5.0	13.0	1.0
G000344615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000344725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000344785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000344805	0	0	0	0	1.0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
G000346485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000347595	0	1.0	0	3.0	0	175.0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	1.0	0	0
G000347635	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000347695	0	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000347775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000347835	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000347915	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000348525	0	0	0	1.0	0	58.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000348685	89.0	0	57.0	121.0	0	131.0	66.0	107.0	133.0	36.0	151.0	89.0	120.0	152.0	76.0	176.0	0	93.0	241.0	164.0	55.0	0	82.0
G000348785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000349545	30214.0	0	50551.0	99716.0	0	145276.0	57973.0	103648.0	89940.0	47095.0	92425.0	41346.0	105618.0	70591.0	57031.0	93461.0	0	60087.0	20806.0	84670.0	43521.0	0	42615.0
G000349565	0	0	0	16.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000349585	0	1.0	0	0	0	0	2.0	1.0	0	1.0	0	0	2.0	0	0	2.0	1.0	0	0	2.0	0	0	2.0
G000349845	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	23.0	0	0	0
G000349945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000350105	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000350145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000350165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000350525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000354175	0	0	0	1.0	0	23.0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000355675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000364165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000364225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000364605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000364625	0	0	0	0	0	2.0	0	0	0	0	1.0	0	0	1.0	0	1.0	0	0	0	4.0	1.0	0	0
G000364865	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0
G000367205	0	1.0	0	0	0	2.0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	2.0	0	0	0
G000367345	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0
G000367525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000367925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000368025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000368565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000368585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000368625	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000368825	1.0	0	1.0	3.0	0	6.0	1.0	3.0	2.0	1.0	1.0	2.0	4.0	2.0	0	3.0	0	3.0	1.0	3.0	2.0	0	1.0
G000368865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000368905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0
G000368925	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000369005	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
G000369105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
G000369145	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0
G000371705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000371925	2.0	0	1.0	2.0	0	3.0	1.0	1.0	1.0	0	2.0	2.0	3.0	1.0	1.0	1.0	0	1.0	1.0	2.0	1.0	0	0
G000372065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000372085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
