	14598.PCGA.1092.BE.02	14598.PCGA.1091.BE.03	14598.PCGA.1099.BE.02	14598.PCGA.1125.BE.01	14598.PCGA.1084.BE.03	14598.PCGA.1080.BE.04	14598.PCGA.1135.BE.02	14598.PCGA.1073.BE.02	14598.PCGA.1120.BE.02	14598.PCGA.1101.BE.02	14598.PCGA.1118.BE.04	14598.PCGA.1114.BE.02	14598.PCGA.1097.BE.01	14598.PCGA.1082.BE.01	14598.PCGA.1065.BE.03	14598.PCGA.1121.BE.04	14598.PCGA.1140.BE.01	14598.PCGA.1079.BE.04	14598.PCGA.1126.BE.02	14598.PCGA.1075.BE.02	14598.PCGA.1109.BE.01	14598.PCGA.1136.BE.01	14598.PCGA.1117.BE.01	14598.PCGA.1102.BE.01	14598.PCGA.1089.BE.03	14598.PCGA.1141.BE.03	14598.PCGA.1124.BE.01	14598.PCGA.1094.BE.04	14598.PCGA.1081.BE.04	14598.PCGA.1069.BE.01	14598.PCGA.1108.BE.03	14598.PCGA.1115.BE.02	14598.PCGA.1088.BE.01	14598.PCGA.1129.BE.03	14598.PCGA.1069.BE.03	14598.PCGA.1074.BE.02	14598.PCGA.1090.BE.01	14598.PCGA.1124.BE.03	14598.PCGA.1139.BE.02	14598.PCGA.1080.BE.02	14598.PCGA.1122.BE.01	14598.PCGA.1116.BE.02	14598.PCGA.1129.BE.02	14598.PCGA.1121.BE.03	14598.PCGA.1115.BE.03	14598.PCGA.1122.BE.02	14598.PCGA.1074.BE.01	14598.PCGA.1090.BE.02	14598.PCGA.1139.BE.01	14598.PCGA.1079.BE.01	14598.PCGA.1140.BE.04	14598.PCGA.1088.BE.02	14598.PCGA.1091.BE.04	14598.PCGA.1065.BE.04	14598.PCGA.1118.BE.03	14598.PCGA.1109.BE.04	14598.PCGA.1136.BE.02	14598.PCGA.1066.BE.03	14598.PCGA.1094.BE.01	14598.PCGA.1117.BE.02	14598.PCGA.1102.BE.02	14598.PCGA.1099.BE.03	14598.PCGA.1084.BE.02	14598.PCGA.1092.BE.03	14598.PCGA.1075.BE.01	14598.PCGA.1081.BE.03	14598.PCGA.1066.BE.01	14598.PCGA.1135.BE.01	14598.PCGA.1089.BE.02	14598.PCGA.1073.BE.01	14598.PCGA.1120.BE.01	14598.PCGA.1141.BE.04	14598.PCGA.1097.BE.02	14598.PCGA.1082.BE.02	14598.PCGA.1101.BE.01	14598.PCGA.1114.BE.01	14598.PCGA.1126.BE.03	14598.PCGA.1116.BE.04	14598.PCGA.1125.BE.02
G000784355	2319.0	216.0	1773.0	927.0	1804.0	594.0	2018.0	3021.0	1855.0	1517.0	3266.0	1573.0	1642.0	1133.0	2158.0	1476.0	1906.0	1158.0	1278.0	1542.0	1672.0	2017.0	1535.0	314.0	1473.0	1828.0	1642.0	497.0	1849.0	2035.0	1427.0	2326.0	726.0	518.0	2857.0	116.0	2550.0	1568.0	2257.0	938.0	1701.0	2330.0	31.0	1651.0	1972.0	1606.0	663.0	2775.0	1981.0	1428.0	1569.0	1524.0	627.0	1902.0	2091.0	1003.0	1626.0	2772.0	1466.0	1581.0	1276.0	1275.0	1604.0	2222.0	2843.0	1872.0	2075.0	1595.0	833.0	995.0	909.0	1582.0	1981.0	711.0	1125.0	1826.0	2359.0	2420.0	1202.0
G000784965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0
G000785435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000785495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000785515	1.0	0	0	2.0	0	1.0	36.0	0	0	0	4.0	0	1.0	0	0	0	2.0	0	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	2.0	1.0	2.0	0	0	2.0	0	0	2.0	0	0	0	0	3.0	0	13.0	0	0	1.0	0	0	0	0	0	3.0	0	0	1.0	0	0	0	2.0	0	11.0	0	0	0	15.0	0	0
G000786105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000786195	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000786205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000786655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000799115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.0	0	0	0	0	0	0	0	0
G000800155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000800475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000800955	0	0	0	0	0	0	4.0	0	0	0	1.0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	2.0	0	2.0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	1.0	0	0	2.0	0	0
G000802385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000803065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000803105	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000803625	1.0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000803645	0	0	0	7.0	0	0	23.0	21.0	2.0	0	0	3.0	5.0	2.0	35.0	0	1.0	0	2.0	7.0	25.0	2.0	0	0	6.0	0	19.0	0	0	6.0	0	1.0	19.0	1.0	1.0	0	0	5.0	2.0	0	3.0	0	0	1.0	1.0	11.0	2.0	0	17.0	10.0	0	0	0	5.0	0	1.0	4.0	0	0	0	0	0	2.0	0	3.0	0	25.0	6.0	0	9.0	1.0	0	8.0	2.0	0	4.0	3.0	0	4.0
G000805675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000806415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
G000807215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
