	14458.ERR2373068	14458.ERR2373096	14458.ERR2373109	14458.ERR2373092	14458.ERR2373133	14458.ERR2373106	14458.ERR2373103	14458.ERR2373097	14458.ERR2373125	14458.ERR2373112	14458.ERR2373076	14458.ERR2373134	14458.ERR2373093	14458.ERR2373121	14458.ERR2373090	14458.ERR2373089	14458.ERR2373111	14458.ERR2373050	14458.ERR2373095	14458.ERR2373077	14458.ERR2373058	14458.ERR2373061	14458.ERR2373067	14458.ERR2373098	14458.ERR2373107	14458.ERR2373139	14458.ERR2373140	14458.ERR2373146	14458.ERR2373138	14458.ERR2373144	14458.ERR2373085	14458.ERR2373083	14458.ERR2373080	14458.ERR2373078	14458.ERR2373081	14458.ERR2373069	14458.ERR2373074	14458.ERR2373075	14458.ERR2373136	14458.ERR2373110	14458.ERR2373117	14458.ERR2373053	14458.ERR2373055	14458.ERR2373052	14458.ERR2373118	14458.ERR2373124	14458.ERR2373127	14458.ERR2373123	14458.ERR2373119	14458.ERR2373122
G010811875	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G010918895	0	0	0	1.0	0	0	0	0	0	0	0	0	6.0	1.0	1.0	0	1.0	0	2.0	1.0	0	0	0	0	2.0	0	0	0	1.0	1.0	0	0	0	1.0	7.0	2.0	1.0	0	0	4.0	1.0	0	2.0	1.0	0	0	0	1.0	0	2.0
G010977555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
G010993845	4.0	6.0	0	10.0	0	3.0	0	10.0	6.0	2.0	2.0	5.0	115.0	10.0	6.0	5.0	13.0	6.0	26.0	6.0	3.0	8.0	11.0	9.0	20.0	1.0	2.0	9.0	18.0	14.0	1.0	3.0	8.0	3.0	110.0	20.0	19.0	16.0	9.0	145.0	18.0	6.0	41.0	13.0	5.0	3.0	11.0	23.0	21.0	56.0
G010994275	6.0	26.0	5.0	20.0	11.0	5.0	7.0	9.0	15.0	7.0	3.0	5.0	22.0	3.0	12.0	8.0	17.0	14.0	33.0	1.0	9.0	7.0	6.0	19.0	40.0	3.0	6.0	33.0	6.0	2.0	6.0	6.0	3.0	3.0	3.0	7.0	7.0	8.0	8.0	7.0	26.0	2.0	4.0	8.0	6.0	8.0	15.0	7.0	12.0	1.0
G011008945	6.0	21.0	2.0	22.0	8.0	7.0	8.0	16.0	7.0	6.0	4.0	6.0	19.0	4.0	12.0	8.0	13.0	17.0	44.0	2.0	10.0	6.0	5.0	15.0	22.0	5.0	5.0	30.0	4.0	1.0	7.0	2.0	2.0	3.0	3.0	6.0	7.0	6.0	3.0	8.0	18.0	2.0	2.0	11.0	8.0	11.0	12.0	8.0	9.0	3.0
G011044475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G011045165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G011045195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G011045835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0
