	14458.ERR2373049	14458.ERR2373113	14458.ERR2373132	14458.ERR2373070	14458.ERR2373108	14458.ERR2373088	14458.ERR2373071	14458.ERR2373059	14458.ERR2373065	14458.ERR2373066	14458.ERR2373099	14458.ERR2373105	14458.ERR2373104	14458.ERR2373102	14458.ERR2373141	14458.ERR2373142	14458.ERR2373135	14458.ERR2373137	14458.ERR2373079	14458.ERR2373084	14458.ERR2373082	14458.ERR2373130	14458.ERR2373131	14458.ERR2373051	14458.ERR2373116	14458.ERR2373057	14458.ERR2373054	14458.ERR2373120	14458.ERR2373126
G000463135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000463155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000463665	0	0	0	3.0	0	0	0	0	0	1.0	2.0	1.0	0	1.0	0	0	0	0	0	0	0	1.0	0	2.0	1.0	3.0	2.0	0	0
G000465575	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0
G000466385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000466485	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	1.0	1.0	0	0	0	1.0
G000466985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000467105	1.0	0	1.0	2.0	0	1.0	0	0	1.0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000467185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000467875	12.0	371.0	8.0	27.0	13.0	213.0	323.0	6.0	20.0	29.0	63.0	47.0	166.0	91.0	27.0	73.0	44.0	12.0	32.0	407.0	85.0	354.0	508.0	188.0	200.0	165.0	94.0	82.0	138.0
G000468015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
G000468055	0	56.0	29.0	4.0	6.0	298.0	8.0	4.0	228.0	15.0	34.0	40.0	12.0	94.0	28.0	164.0	14.0	18.0	146.0	13.0	1.0	23.0	146.0	0	6.0	1215.0	31.0	208.0	92.0
G000468115	0	84.0	7.0	59.0	11.0	58.0	52.0	7.0	56.0	110.0	13.0	17.0	83.0	26.0	15.0	43.0	72.0	5.0	83.0	35.0	9.0	300.0	1481.0	36.0	119.0	361.0	53.0	48.0	28.0
G000468135	78.0	591.0	54.0	319.0	76.0	550.0	134.0	132.0	824.0	223.0	139.0	765.0	2499.0	215.0	36.0	192.0	260.0	160.0	170.0	1121.0	250.0	518.0	39842.0	312.0	1868.0	1189.0	464.0	396.0	400.0
G000468535	2.0	8.0	0	0	0	18.0	3.0	0	9.0	1.0	6.0	3.0	12.0	9.0	0	16.0	3.0	1.0	3.0	9.0	4.0	6.0	61.0	2.0	10.0	16.0	15.0	2.0	8.0
G000468635	4.0	98.0	2.0	22.0	21.0	477.0	76.0	22.0	28.0	13.0	11.0	18.0	490.0	108.0	5.0	67.0	161.0	86.0	103.0	123.0	88.0	215.0	1156.0	24.0	14.0	310.0	128.0	288.0	56.0
G000468955	0	1.0	0	0	0	1.0	1.0	0	1.0	1.0	0	1.0	2.0	2.0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	1.0	0	1.0
G000469035	1.0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000469305	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0
G000469345	0	0	0	0	0	4.0	1.0	0	0	0	0	0	0	2.0	0	0	0	0	0	3.0	1.0	0	2.0	5.0	4.0	0	0	0	2.0
G000469365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000469465	4.0	4.0	1.0	9.0	0	34.0	6.0	1.0	1.0	8.0	5.0	7.0	4.0	37.0	0	96.0	3.0	4.0	4.0	16.0	14.0	7.0	16.0	10.0	8.0	125.0	16.0	6.0	36.0
G000469705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000470255	0	0	0	0	0	1.0	2.0	0	1.0	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000472405	10.0	4.0	9.0	33.0	1.0	2.0	1.0	1.0	8.0	6.0	18.0	10.0	8.0	2.0	3.0	1.0	6.0	1.0	6.0	4.0	5.0	2.0	13.0	14.0	23.0	4.0	43.0	7.0	5.0
G000472705	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000472825	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000472965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000472985	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000473955	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0
G000473995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000474055	17.0	41.0	1.0	11.0	5.0	101.0	16.0	8.0	6.0	25.0	3.0	15.0	41.0	35.0	4.0	8.0	11.0	7.0	14.0	12.0	32.0	43.0	38.0	34.0	20.0	16.0	26.0	321.0	24.0
G000474135	87.0	183.0	4.0	76.0	15.0	134.0	86.0	34.0	94.0	125.0	17.0	31.0	75.0	197.0	7.0	110.0	36.0	68.0	40.0	65.0	409.0	275.0	464.0	94.0	102.0	114.0	187.0	279.0	213.0
G000477435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000477535	1491.0	9730.0	1134.0	2705.0	802.0	28580.0	615.0	193.0	607.0	3567.0	128.0	1245.0	4351.0	2390.0	2314.0	331.0	6571.0	253.0	1083.0	12078.0	3498.0	6227.0	3072.0	6153.0	6489.0	2488.0	5277.0	2033.0	5578.0
G000478365	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000478565	0	0	0	0	0	1.0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000478965	4.0	7.0	1.0	1.0	0	33.0	2.0	1.0	1.0	39.0	2.0	3.0	8.0	7.0	2.0	1.0	2.0	2.0	5.0	37.0	7.0	10.0	6.0	27.0	47.0	7.0	10.0	5.0	20.0
G000479045	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	0
G000479335	313.0	337.0	61.0	78.0	171.0	792.0	515.0	75.0	746.0	1977.0	212.0	314.0	454.0	1778.0	24.0	488.0	155.0	169.0	79.0	844.0	530.0	427.0	1608.0	1041.0	671.0	288.0	626.0	155.0	4419.0
G000482365	8.0	14.0	2.0	6.0	5.0	57.0	26.0	1.0	4.0	6.0	13.0	8.0	97.0	42.0	6.0	6.0	13.0	36.0	5.0	14.0	7.0	46.0	69.0	21.0	41.0	42.0	18.0	12.0	32.0
G000482505	61.0	45.0	7.0	50.0	18.0	104.0	57.0	7.0	19.0	69.0	20.0	9.0	10.0	80.0	3.0	15.0	34.0	24.0	6.0	120.0	44.0	38.0	106.0	32.0	56.0	16.0	135.0	22.0	70.0
G000482785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000482845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000483125	0	2.0	0	0	0	4.0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.0	0	0	7.0	0	1.0	2.0	1.0	1.0	1.0	2.0	0	1.0
G000484635	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
G000484655	0	0	0	1.0	0	7.0	0	0	0	0	2.0	0	1.0	4.0	0	1.0	0	0	0	1.0	1.0	9.0	2.0	3.0	3.0	0	0	0	2.0
G000485555	0	163.0	0	14.0	4.0	7.0	46.0	9.0	2.0	11.0	0	2.0	33.0	4.0	6.0	11.0	29.0	2.0	18.0	0	4.0	160.0	185.0	3.0	44.0	86.0	8.0	0	2.0
G000485795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000485945	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000488175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
G000488255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
